"BinNo","MemberName"
"650457","TÜRK ELEKTRONİK PARA"
"548793","PAPARA"
"439748","İNİNAL ÖDEME VE ELEKTRONİK PARA HİZMETLERİ"
"478500","İNİNAL ÖDEME VE ELEKTRONİK PARA HİZMETLERİ"
"979260","PALADYUM ELEKTRONİK PARA VE ÖDEME HİZMETLERİ"
"535248","ZİRAAT KATILIM BANKASI"
"979259","POSTA VE TELGRAF TEŞKİLATI"
"650161","YAPI KREDİ BANKASI"
"510054","YAPI KREDİ BANKASI"
"476625","YAPI KREDİ BANKASI"
"650082","İŞ BANKASI"
"401049","T.HALK BANKASI"
"979240","ANADOLUBANK"
"979248","TÜRK ELEKRONİK PARA"
"979218","TÜRKİYE FİNANS KATILIM BANKASI"
"979243","DENİZBANK"
"537829","GARANTİ BANKASI"
"432951","GARANTİ BANKASI"
"545254","İŞ BANKASI"
"979280","T.C.ZİRAAT BANKASI"
"416563","TÜRK EKONOMİ BANKASI"
"650170","T. VAKIFLAR BANKASI T.A.O."
"537475","İŞ BANKASI"
"434727","TURKCELL ÖDEME VE ELEKTRONİK PARA HİZMETLERİ"
"471688","TURKCELL ÖDEME VE ELEKTRONİK PARA HİZMETLERİ"
"650173","İŞ BANKASI"
"511885","T.C.ZİRAAT BANKASI"
"537058","QNB FİNANSBANK"
"539957","QNB FİNANSBANK"
"478593","TÜRK ELEKTRONİK PARA"
"478594","TÜRK ELEKTRONİK PARA"
"559096","QNB FİNANSBANK"
